Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
80,APOE3,7.5,0.0,5,5.6000000000000005,28.25331168298861,1.6737459983122225
81,APOE3,7.5,10.0,1,5.6000000000000005,26.779985729048384,1.6774571329104329
82,APOE3,7.5,10.0,2,9.4,28.392154440849858,1.6652436192941087
83,APOE3,7.5,10.0,3,15.2,29.34721255583331,1.6849437161558896
84,APOE3,7.5,10.0,4,5.5,27.624553760542838,1.7026509827594043
85,APOE3,7.5,10.0,5,5.2,26.866217416750548,1.6905709256272559
86,APOE3,7.5,20.0,1,2.6,30.449121646378153,1.6504326962779632
87,APOE3,7.5,20.0,2,17.7,29.765142729361273,1.689076353542057
88,APOE3,7.5,20.0,3,4.0,27.490658636394322,1.7176579861679588
89,APOE3,7.5,20.0,4,8.5,28.013516764720634,1.6958355202591635
90,APOE3,7.5,20.0,5,4.7,27.82457946182309,1.7031850903136165
91,APOE3,7.5,30.0,1,3.4000000000000004,27.860372917837587,1.6304659681594318
92,APOE3,7.5,30.0,2,10.4,29.273379232293657,1.600543916043927
93,APOE3,7.5,30.0,3,5.0,29.641431335656712,1.7108909782970265
94,APOE3,7.5,30.0,4,3.1,27.870437711814773,1.6903323199729359
95,APOE3,7.5,30.0,5,5.1,29.659307413039226,1.6091254990601818
96,APOE3,7.5,40.0,1,5.7,29.009682006757746,1.6958196973624153
97,APOE3,7.5,40.0,2,26.400000000000002,26.31093596824975,1.7072055888507047
98,APOE3,7.5,40.0,3,4.1000000000000005,28.48804963497508,1.684150821853377
99,APOE3,7.5,40.0,4,8.3,27.81975549994724,1.6685793260609083
100,APOE3,7.5,40.0,5,6.800000000000001,29.0741671166502,1.667766149242305
101,APOE3,10.0,0.0,1,14.2,28.579173273868992,1.6551591988496135
102,APOE3,10.0,0.0,2,6.4,28.323899463097483,1.6989397056340079
103,APOE3,10.0,0.0,3,5.7,30.03319144839166,1.6208678783759183
104,APOE3,10.0,0.0,4,5.4,28.46680831268588,1.662950273307903
105,APOE3,10.0,0.0,5,31.900000000000002,29.401700489489258,1.6567095651992134
106,APOE3,10.0,10.0,1,5.7,28.86877348539815,1.6887733008838448
107,APOE3,10.0,10.0,2,9.6,28.298603249185604,1.6046839117309606
108,APOE3,10.0,10.0,3,4.5,29.347845999975185,1.6698244149125592
109,APOE3,10.0,10.0,4,10.7,29.46646472168736,1.6275339249558063
110,APOE3,10.0,10.0,5,4.8,29.88918317758933,1.643655875440074
111,APOE3,10.0,20.0,1,5.8999999999999995,27.364232782539013,1.6750520179483852
112,APOE3,10.0,20.0,2,6.800000000000001,29.782477178266056,1.6270477178396106
113,APOE3,10.0,20.0,3,6.0,28.235339074151415,1.62176300126072
114,APOE3,10.0,20.0,4,6.0,30.902571490368075,1.6599471882683245
115,APOE3,10.0,20.0,5,5.7,29.327021035559387,1.6742845971229587
116,APOE3,10.0,30.0,1,6.7,27.502875214095155,1.6593522910761722
117,APOE3,10.0,30.0,2,6.800000000000001,29.362473547789158,1.6188714533126185
118,APOE3,10.0,30.0,3,6.2,30.53693462777381,1.6969869421091683
119,APOE3,10.0,30.0,4,3.9,30.802382787256946,1.6696028489254866
120,APOE3,10.0,30.0,5,10.100000000000001,28.9265411680152,1.7057508059169733
121,APOE3,10.0,40.0,1,8.1,29.67278990719933,1.6723729749552243
122,APOE3,10.0,40.0,2,8.1,32.11072087770498,1.6331800287287987
123,APOE3,10.0,40.0,3,5.8999999999999995,29.391623177225824,1.64950146780074
124,APOE3,10.0,40.0,4,12.9,28.13959423368165,1.7017496052028112
125,APOE3,10.0,40.0,5,7.1,27.96871334574692,1.696119648005957
